,Nº,REGIÃO,UF,ENTE,ANO,N.JUR,POP,TAM.ATV,AD.PROG,C.PROG,PRT_massa,MassaSeg.,GR_POD,GR_SEGR,GR_C.ÉT,CIE_REL,CIE_FISC,CIE_AUD,CIE_CRP,GI_DIV.CART,GI_C.TÉC,GI_P.INV,GI_COMITÊ,GI_CONS,SA_AMRTZ,SA_PUB.REL,SA_REPAS,SA_R.ALIQ,GTI_POL.INFR.,GTI_INV.TI,DDM_CART,DDM_ACES,DDM_ATAS,RP_REG.ENV,RP_REL.GOV,RP_SITE,PS_OUV,PS_GEST,IP_REP.CF,IP_SELEC,LI_CERT.MB,LI_DIR.CERT,LI_P.EST.,R.FIN,IND.SF,R.INV,VAR.INV,R.AT,IND.COB
0,1,CO,GO,Abadia de Goiás,1998-03-26,Autarquia,8958,15368522.77,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,IRG,REG,B,0,1,1,0,IRG,REG,1,0,0,1,REG,0,A,0,0,1,1,B,EL,C,1,0,1023035.0999999999,1.6648401152399384,2649065.319999998,0.20826873555050884,-30673267.78999999,0.33379507145736
1,2,CO,GO,Abadiânia,2001-10-10,Autarquia,20461,174719.81,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,JUD,REG,C,1,0,1,0,JUD,REG,1,0,0,0,REG,0,B,0,0,1,0,C,EL,C,1,0,-1570789.2599999998,0.5252145071523926,-197592.5099999999,-0.5307170872024862,,
2,3,NE,CE,Acarapé,2013-04-26,Autarquia,15036,43696.21,NÃO,,PEQUENO PORTE,mais favorável,1,0,0,0,REG,REG,IRG,REG,C,1,0,1,0,REG,IRG,1,0,0,1,REG,0,B,0,1,0,0,B,ESC,C,1,0,-559378.1300000004,0.8395472196602348,-7724.830000000001,-0.15022702769138874,-91387699.63000001,0.00047791253320102423
3,4,NE,CE,Acopiara,2009-08-12,Autarquia,54481,45910781.05,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,1,1,REG,1,A,1,1,1,0,A,ESC,C,1,0,8183757.08,3.2114577432317746,5722056.289999999,0.1423796431504385,-123089791.10999998,0.2716605066078375
4,5,CO,GO,Acreúna,2005-08-22,Autarquia,22546,42459373.90000001,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,1,REG,REG,1,0,0,1,REG,1,A,1,1,1,1,A,EL,C,1,0,6020421.459999999,1.8241764603097008,5352032.170000002,0.14423108529148743,-131203244.97999999,0.24449345618436868
5,6,S,PR,Adrianópolis,1994-07-29,Autarquia,5857,8010256.66,NÃO,,PEQUENO PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,A,1,1,0,0,REG,REG,0,0,0,1,REG,0,A,0,1,0,1,C,ESC,B,0,0,,0.0,2029296.8,0.33929283049894976,-43263463.21000001,0.1562253856421828
6,7,NE,PE,Afogados da Ingazeira,2002-08-01,Autarquia,37404,405891.3199999999,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,0,JUD,REG,JUD,REG,B,1,1,0,1,JUD,JUD,0,0,0,1,REG,0,C,0,1,0,0,B,ESC,C,0,0,-5075837.069999999,0.6008292607344425,307209.4,3.113127511098284,-122786505.77082191,0.0032947757295506
7,8,NE,PE,Afrânio,2001-03-28,Órgão Adm. Direta,19810,28316185.3,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,JUD,REG,B,1,1,0,0,REG,REG,1,0,0,1,REG,0,A,0,1,0,0,A,ESC,C,0,0,2875091.88,2.2998606449243955,3712963.120000002,0.15091369304538804,-34345138.06,0.4518925516034617
8,9,N,PA,Afuá,2002-06-21,,39567,2592301.75,NÃO,,MÉDIO PORTE,mais favorável,1,0,0,0,IRG,REG,IRG,IRG,B,1,1,0,0,IRG,IRG,0,0,0,0,REG,0,C,,1,0,0,,ESC,C,0,0,-757945.77,0.6079352841265842,-813289.4300000002,-0.2388100588162787,,
9,10,NE,PE,Agrestina,2013-06-27,Autarquia,25065,4430202.46,NÃO,,MÉDIO PORTE,mais favorável,1,0,0,0,REG,REG,JUD,REG,A,1,1,1,1,JUD,REG,1,0,0,0,REG,,A,0,1,0,0,C,ESC,C,1,0,823682.4700000007,1.2161278926462225,1095091.57,0.32835237151589936,-89869362.1,0.04698009456004641
